id|code|answers|content|note
394|CIP1||Долговой инструмент предусматривает возможность отсрочки или прекращения обязательств Заемщика по выплатам основного долга и/или процентов?|Ответ "Да" на  указанный вопрос предполагается, когда первоначальными условиями сделки определены конкретные условия, при выполнении которых клиент имеет возможность не осуществлять / осуществлять не в полном объеме погашение основной суммы долга или процентов.<br><br>Например:<br><br>1) При наличии в первоначальных условиях договора, условия перенесения платежей по основному долгу или процентам на более поздний срок.<br><br>2) При наличии в первоначальных условиях договора условия списания задолженности.
395|CIP2||Проценты продолжают начисляться на непогашенную (отсроченную) сумму задолженности (включая отсроченные проценты) на период отсрочки / прекращения обязательств или Банк получает иное возмещение за временную стоимость денег?|Ответ "Да", если на отсроченную задолженность (в т.ч. на отсроченные проценты) продолжают начисляться проценты
396|CIP3||Влияние периода отсрочки/прекращения обязательств на денежные потоки по договору не превышает 3% от суммы обязательств, на которую предоставляется отсрочка?|Влияние периода отсрочки/прекращения обязательств для целей указанного вопроса анкеты определяются как сравнение 2 денежных потоков:<br><br>1) дисконтированной по ставке договора величины денежного потока при своевременном выполнении клиентом всех платежей по договору и<br><br>2) дисконтированной по ставке договора величины денежного потока при использовании клиентом льгот, позволяющих изменять сроки осуществления платежей по договору
397|CIP4|{'fixed':'Фиксированная','floating':'Плавающая'}|Какая процентная ставка применяется к инструменту?|"Плавающая" ставка задается формулой. Например:  "LIBOR 3M USD + 4%".<br><br>При этом, не является "плавающей" ставка, которая задается конкретным числовым значением, но может меняться в зависимости от (не)наступления условных событий. <br><br>То есть, в случае если ставка является "переменной", то ответ "фиксированная".
398|CIP5.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте договора? (Например, Libor для USD, индекс инфляции в РФ для RUB)|Если валюта договора отличается от валюты базового индикатора, то указывается ответ "Нет". Например, по сделке в USD при базовом индикаторе Mosprime, необходимо указать "Нет".
399|CIP5.2||Содержит ли договор инверсированную плавающую процентную ставку? (например, Х% - Libor)|Инверсированная ставка - это плавающая ставка, изменяющаяся в направлении обратном к изменениям значений базового индикатора.<br><br>В соответствии с условиями кредита, номинированного в долларах США, процентная ставка рассчитывается как: «10% - Libor 3M», то есть ставка на процентный период приравнивается к разнице между фиксированной маржой и значением Libor 3M. Таким образом, чем больше значение базового индикатора, тем меньше процентная ставка по сделке.
400|CIP5.3||Присутствует ли эффект "рычага" в отношении ставки? (при этом Коэф.рычага >1)|Если при расчете величины процентной ставки по сделке с плавающей процентной ставкой перед базовым индикатором присутствует коэффициент, величина которого по модулю > 1, то ответ "Да".<br><br>Например:<br>Если базовая ставка задается как "LIBOR 3M USD", то коэффициент = 1 - ответ "Нет"<br>Если базовая ставка задается как "4 * LIBOR 3M USD", то коэффициент = 4 - ответ "Да"<br>Если базовая ставка задается как "-3 * LIBOR 3M USD", то коэффициент = -3 - ответ "Да"
401|CIP5.4||Дата начала процентного периода соответствует дате котировки? (Допускается отставание между датами в 30 календарных дней)|Например: По кредиту со сроком действия 5 лет, установлена плавающая ставка MosPrime3M+4%. Расчет процентов к начислению производится ежеквартально на начало процентного периода на основании значения базовой ставки MosPrime3M, установленной на начало предыдущего процентного периода.<br><br>Таким образом, для расчета процентных платежей на 01.04.2017 используется котировка MosPrime3M на дату 01.01.2017 - ответ "Нет".
402|CIP5.5||Срок базовой ставки соответствует частоте ее пересмотра?|Например:<br><br>Если по сделке, применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M определяется (актуализируется) ежеквартально (то есть каждые 3 месяца), то ответ - "Да".<br><br>Если по сделке применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M  определяется (актуализируется) раз в полгода (то есть каждые 6 месяцев), то ответ - "Нет".<br><br>Если по сделке применяется плавающая процентная ставка, которая рассчитывается как среднеарифметическое ставок MosPrime3M и MosPrime12M, то срочность базового индикатора определить невозможно и ответ также - "Нет".
403|CIP5.6||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|Например:<br><br>1) условие, предусматривающее периодический пересмотр процентной ставки по кредиту до среднего значения определённых краткосрочных и долгосрочных ставок;<br><br>2) условие, предусматривающее пересмотр процентной ставки на полугодовой основе до уровня, отражающего текущее значение кривой доходности по инструментам с пятилетним сроком погашения.
404|CIP5.7.1||Разница между датой начала процентного периода и котировкой базового индикатора не превышает 30 дней или используется наиболее актуальная из возможных котировок?|
405|CIP5.7.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|Ответ на вопрос "Да", в случаях если Benchmark-тест не пройден
406|CIP6.1|{'yes':'<b>Да</b>, возможно изменение ставки, при этом договор <b><ins>НЕ устанавливает</ins></b> шаг  изменения и/или степень изменения ставки ','no_with_condition':'<b>Нет</b>, предусмотрены условия, изменяющие  процентную ставку <b><ins>И С установлением</ins></b> шага/степени изменения ставки,<ins><b> И БЕЗ установления </ins></b> шага/степени изменения ставки','no_with_step':'<b>Нет</b>, возможно изменение ставки, но договор устанавливает шаг изменения и/или степень ','no_not_condition':'<b>Нет</b>, в договоре нет условий, изменяющих ставку'}|Предусмотрено ли договором безусловное или условное право Кредитора изменять процентную ставку, при этом договор <b><ins>НЕ устанавливает</ins><b></b> «шаг» изменения и/или степень зависимости ставки от наступления условного события?|1) Ответ на вопрос "Нет, возможно изменение ставки, но договор устанавливает «шаг» изменения и/или степень", в случаях если договором предусмотрены условия, изменяющие процентную ставку и при этом установлен шаг/степень изменения ставки. Например, таким условием будет являться: "В случае отсутствия страхования залога в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%";<br><br>2) Ответ на вопрос "Да, возможно изменение ставки, при этом договор НЕ устанавливает «шаг» изменения и/или степень изменения ставки", в случаях если договором предусмотрены условия, изменяющие процентную ставку, но при этом шаг/степень изменения ставки не установлен. Например, таким условием будет являться: "Банк оставляет за собой право в одностороннем порядке производить изменение ставки по договору в том числе, но не исключительно, при условии принятия Банком России решения об изменении ключевой ставки";<br><br>3) Ответ на вопрос "Нет, предусмотрены условия изменяющие процентную ставку И С установлением «шага»/степени изменения ставки, И БЕЗ установления «шага»/степени изменения ставки", в случаях если договором предусмотрены оба вида условий, описанных в пунктах 1 и 2;<br><br>4) Ответ на вопрос "Нет, в договоре нет условий, изменяющих ставку", в случаях если договором не предусмотрены условия, изменяющие величину процентной ставки.
407|CIP6.2.1||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
408|CIP6.2.2||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
409|CIP7.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|Ответ "Да" если договором предусмотрено условие, изменяющее процентную ставку на определенное количество процентных пунктов в зависимости от изменения стоимости фондирования.<br><br>Например, Банк выдал Заемщику кредит в рамках программы стимулирования ипотечного кредитования. Процентная ставка по кредитному договору составляет 10%. В рамках программы Банк вправе получить определенный объем средств у Банка России по сниженной (льготной) процентной ставке и направлять его на цели ипотечного кредитования. Условиями договора предусмотрено, что в случае приостановки или прекращения действия программы по любой причине в течение действия кредитного договора (в том числе, если Заемщик перестал удовлетворять критериям участника программы), процентная ставка по кредитному договору увеличивается до 11%.
410|CIP7.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%".
