code|answers|content|note
CLE1||Условия сделки предусматривают возможность отсрочки или прекращения обязательств Заемщика по выплатам основного долга и/или процентов?|Ответ "Да" на указанный вопрос предполагается, когда первоначальными условиями сделки определены конкретные условия, при выполнении которых клиент имеет возможность не осуществлять / осуществлять не в полном объеме погашение основной суммы долга или процентов.<br><br>Например:<br><br>1) При наличии в первоначальных условиях договора, условия перенесения платежей по основному долгу или процентам на более поздний срок.<br><br>2) При наличии в первоначальных условиях договора условия списания задолженности.
CLE2|{'yes_only_cli':'<b>Да</b>, только CLI','no_not_only_cli':'<b>Нет</b>, ins>не только</ins> CLI','no_not_cli':'<b>Нет</b>, инструмент не является CLI'}|Данная возможность обусловлена <b><ins>исключительно</ins></b>  приоритетностью платежей, установленной по инструментам, взаимосвязанным по условиям договора (например, при многотраншевой структуре сделки)?|В отдельных случаях выплаты (речь идет не о времени выплаты, а о размере выплаты) по сделке зависят от выплат по иным связанным с ней иным сделкам.<br><br>Например, выплаты по одному из траншей зависят от объема погашения по иным связанным траншам. Лучшим примером описываемой ситуации являются ипотечные ценные бумаги, когда объем погашения ограничен объемом сборов средств от референсного кредитного портфеля, но сначала погашается старший транш, а затем происходят выплаты по младшему траншу, при этом на младший транш приходится весь остаток собранных средств, т.е. балансирующая величина.  
CLE3.1.1||Анализируемый транш представлен &laquo;младшим&raquo; траншем при многотраншевой структуре сделки и соответственно аккумулирует кредитные убытки в первую очередь?|Например:<br><br>Анализируемым финансовым активом являются ипотечные ценные бумаги, когда объем погашения ограничен объемом сборов средств от референсного кредитного портфеля, но сначала погашается старший транш, а затем происходят выплаты по младшему траншу, при этом на младший транш приходится весь остаток собранных средств, т.е. балансирующая величина.
CLE3.1.2||Анализируемый транш представлен &laquo;младшим&raquo;  траншем при многотраншевой структуре сделки и соответственно аккумулирует кредитные убытки в первую очередь?|Например:<br><br>Анализируемым финансовым активом являются ипотечные ценные бумаги, когда объем погашения ограничен объемом сборов средств от референсного кредитного портфеля, но сначала погашается старший транш, а затем происходят выплаты по младшему траншу, при этом на младший транш приходится весь остаток собранных средств, т.е. балансирующая величина.
CLE3.2.1||Отвечают ли договорные условия отдельного транша критерию SPPI (без проведения сквозного анализа базового пула финансовых инструментов)?|1) При наличии в первоначальных условиях договора, условия перенесения платежей по основному долгу или процентам на более поздний срок.
CLE3.2.2||Отвечают ли договорные условия отдельного транша критерию SPPI (без проведения сквозного анализа базового пула финансовых инструментов)?|
CLE3.3.1||Содержит ли базовый пул финансовых инструментов только:<br>(А) Инструменты, которые отвечают критерию SPPI (Пул должен включать хотя бы один такой инструмент).<br>(B) Другие инструменты (как правило, производные), которые:<br><ul><li>Уменьшает изменчивость потоков денежных средств по инструментам, указанным в пункте (А), таким образом, что объединённые денежные потоки отвечают критерию SPPI - например, процентный &laquo;кэп&raquo; и &laquo;флор&raquo;, средства кредитной защиты или</li><li>Выравнивают потоки денежных средств по траншам/кредитам с потоками денежных средств по инструментам, указанным в пункте (А), чтобы сгладить различия в том, что процентные ставки являются фиксированными или плавающими, либо различия в валюте или сроках возникновения денежных потоков?</li></ul> Выравнивают потоки денежных средств по траншам/кредитам с потоками денежных средств по инструментам, указанным в пункте (А), чтобы сгладить различия в том, что процентные ставки являются фиксированными или плавающими, либо различия в валюте или сроках возникновения денежных потоков ?|Ответ "Да" в случаях, если инструменты базового пула соответствуют критериям SPPI (то есть - проходят SPPI-тестирование).
CLE3.3.2||Содержит ли базовый пул финансовых инструментов только:<br>(А) Инструменты, которые отвечают критерию SPPI (Пул должен включать хотя бы один такой инструмент).<br>(B) Другие инструменты (как правило, производные), которые:<br><ul><li>Уменьшает изменчивость потоков денежных средств по инструментам, указанным в пункте (А), таким образом, что объединённые денежные потоки отвечают критерию SPPI - например, процентный &laquo;кэп&raquo; и &laquo;флор&raquo;, средства кредитной защиты или</li><li>Выравнивают потоки денежных средств по траншам/кредитам с потоками денежных средств по инструментам, указанным в пункте (А), чтобы сгладить различия в том, что процентные ставки являются фиксированными или плавающими, либо различия в валюте или сроках возникновения денежных потоков?</li></ul>Выравнивают потоки денежных средств по траншам/кредитам с потоками денежных средств по инструментам, указанным в пункте (А), чтобы сгладить различия в том, что процентные ставки являются фиксированными или плавающими, либо различия в валюте или сроках возникновения денежных потоков ?|Ответ "Да" в случаях, если инструменты базового пула соответствуют критериям SPPI (то есть - проходят SPPI-тестирование).
CLE3.4.1||Может ли базовый пул в будущем измениться таким образом, что перестанет отвечать условиям <b>(А)</b> и< b>(В)</b> предыдущего вопроса?|Ответ "Да", если базовый пул может измениться таким образом, что перестанет соответствовать критериям SPPI (то есть - проходить SPPI-тестирование)
CLE3.4.2|| Может ли базовый пул в будущем измениться таким образом, что перестанет отвечать условиям <b>(А)</b> и <b>(В)</b> предыдущего вопроса?|Ответ "Да", если базовый пул может измениться таким образом, что перестанет соответствовать критериям SPPI (то есть - проходить SPPI-тестирование)
