id;name;quiz_tree_code;description;code;attributes
1;Приобретенная долговая ценная бумага;securities;;TSB;"[{name:'Тип_ID (ISIN/ГРН)',type:String},{name:'ID_ISIN или ID_ГРН ценной бумаги',type:String},{name:'Цена в % от номинала',type:String},{name:'Цена приобретения ценной бумаги',type:String},{name:'Дата приобретения ценной бумаги',type:String},{name:'Дополнительная информация',type:String}]"
2;Приобретенная долговая ценная бумага серой зоны;gray_zone;;TSB_GRAY;"[{name:'Тип_ID (ISIN/ГРН)',type:String},{name:'ID_ISIN или ID_ГРН ценной бумаги',type:String},{name:'Цена в % от номинала',type:String},{name:'Цена приобретения ценной бумаги',type:String},{name:'Дата приобретения ценной бумаги',type:String},{name:'Дополнительная информация',type:String}]"
3;Приобретенные векселя;securities;;VEX;"[{name:'ID векселя',type:String},{name:'Номинал ПВ',type:String},{name:'ID_Эмитента',type:String},{name:'Эмитент',type:String},{name:'Дополнительная информация',type:String}]"
4;Кредиты ЮЛ/ИП (коробочные продкты);credit_legal_entity;;YUL_IP_BOX;"[{name:'ID_коробки',type:String},{name:'Наименование коробочного продукта',type:String},{name:'Дополнителньая информация: (КЮЛ/КИП/КСБ/К7М/кредитные линии/овердрафты по картам ЮЛ/субсидии/овеердрафты ЮЛ/КК ЮЛ/гарантии)',type:String}]"
5;Кредиты ЮЛ/ИП (индивидуальные условия);credit_legal_entity;;YUL_IP_IND;"[{name:'ID_Договора/сделки',type:String},{name:'ID_Заемщика',type:String},{name:'Потраншевое прохождение',type:String},{name:'ID_Транша',type:String},{name:'Дополнительная информация: (КЮЛ/КИП/КЛ/ПФ/Гарантии)',type:String}]"
6;ППТ ЮЛ;credit_legal_entity;;PPT_YUL;"[{name:'ID_Договора/сделки',type:String},{name:'ID_Заемщика',type:String},{name:'Потраншевое прохождение',type:String},{name:'ID_Транша',type:String},{name:'Дополнительная информация: (КЮЛ/КИП/КЛ/ПФ)',type:String}]"
7;Кредит ФЛ (коробочный продукт);credit_individual_person;;KRE_FL_BOX;"[{name:'ID_коробки',type:String},{name:'Наименование коробочного продукта',type:String},{name:'Дополнителньая информация: (КФЛ/ППТ/субсидия)',type:String}]"
8;Кредит ФЛ (индивидуальный продукт);credit_individual_person;;KRE_FL_IND;"[{name:'ID сделки/договора',type:String},{name:'ID клиента',type:String},{name:'Дополнителньая информация',type:String}]"
9;Размещенные МБК (субординированые);credit_legal_entity;;MBK_SUBORD;"[{name:'Тип_ID (сделка/договора/распред. документа)',type:String},{name:'ID_один из трех вариантов',type:String},{name:'Дополнительная инфорамция',type:String}]"
10;МБК (от 90 дней и не в торговый портфель CIB);credit_legal_entity;;MBK_90;"[{name:'Тип_ID (сделка/договора/распред. документа)',type:String},{name:'ID_один из трех вариантов',type:String},{name:'Дополнительная инфорамция',type:String}]"
11;РЕПО (от 90 дней и не в торговый портфель CIB);credit_legal_entity;;REPO_90;"[{name:'Тип_ID (сделка/договора/распред. документа)',type:String},{name:'ID_один из трех вариантов',type:String},{name:'Дополнительная инфорамция',type:String}]"
