code|answers|content|note
CB1||Долговой инструмент предусматривает возможность отсрочки или прекращения обязательств Заемщика по выплатам основного долга и/или процентов?|
CB2|{'yes_only_cli':'Да, только CLI','no_not_only_cli':'Нет, не только CLI','no_not_cli':'Нет, инструмент не является CLI'}|Данная возможность обусловлена исключительно приоритетностью платежей, установленной по инструментам, взаимосвязанным по условиям договора (например, «младший» транш при многотраншевой структуре сделки)?|
CB3.1.1||Анализируемый транш представлен «младшим» траншем при многотраншевой структуре сделки и соответственно аккумулирует кредитные убытки в первую очередь?|
CB3.1.2||Анализируемый транш представлен «младшим» траншем при многотраншевой структуре сделки и соответственно аккумулирует кредитные убытки в первую очередь?|
CB3.2.1||Отвечают ли договорные условия отдельного транша критерию SPPI (без проведения сквозного анализа базового пула финансовых инструментов)?|
CB3.2.2||Отвечают ли договорные условия отдельного транша критерию SPPI (без проведения сквозного анализа базового пула финансовых инструментов)?|
CB3.3.1||Содержит ли базовый пул финансовых инструментов только:(А) Инструменты, которые отвечают критерию SPPI (Пул должен включать хотя бы один такой инструмент).(B) Другие инструменты ( как правило, производные), которые:? Уменьшают изменчивость потоков денежных средств по инструментам, указанным в пункте (А), таким образом, что объединённые денежные потоки отвечают критерию SPPI – например, процентный «кэп» и «флор», средства кредитной защиты или? Выравнивают потоки денежных средств по траншам/кредитам с потоками денежных средств по инструментам, указанным в пункте (А), чтобы сгладить различия в том, что процентные ставки являются фиксированными или плавающими, либо различия в валюте или сроках возникновения денежных потоков ?|
CB3.3.2||Содержит ли базовый пул финансовых инструментов только:(А) Инструменты, которые отвечают критерию SPPI (Пул должен включать хотя бы один такой инструмент).(B) Другие инструменты ( как правило, производные), которые:? Уменьшают изменчивость потоков денежных средств по инструментам, указанным в пункте (А), таким образом, что объединённые денежные потоки отвечают критерию SPPI – например, процентный «кэп» и «флор», средства кредитной защиты или? Выравнивают потоки денежных средств по траншам/кредитам с потоками денежных средств по инструментам, указанным в пункте (А), чтобы сгладить различия в том, что процентные ставки являются фиксированными или плавающими, либо различия в валюте или сроках возникновения денежных потоков ?|
CB3.4.1||Может ли базовый пул в будущем измениться таким образом, что перестанет отвечать условиям (А) и (В)?|
CB3.4.2||Может ли базовый пул в будущем измениться таким образом, что перестанет отвечать условиям (А) и (В)?|
CB3.5.1||Анализируемый транш представлен «старшим» траншем при многотраншевой структуре сделки и соответственно выплаты по нему не зависят от выплат по прочим траншам?|
CB3.5.2||Анализируемый транш представлен «старшим» траншем при многотраншевой структуре сделки и соответственно выплаты по нему не зависят от выплат по прочим траншам?|
CB3.6.1||Является ли подверженность кредитному риску, присущая траншу, такой же или меньшей по сравнению с подверженностью кредитному риску, присущей базовому пулу финансовых инструментов?|
CB3.6.2||Является ли подверженность кредитному риску, присущая траншу, такой же или меньшей по сравнению с подверженностью кредитному риску, присущей базовому пулу финансовых инструментов?|
CB4||Проценты продолжают начисляться на непогашенную (отсроченную) сумму задолженности (включая отсроченные проценты) на период отсрочки / прекращения обязательств или Банк получает иное возмещение за временную стоимость денег?|
CB5||Влияние периода отсрочки/прекращения обязательств на денежные потоки по договору не превышает 3% от суммы обязательств, на которую предоставляется отсрочка?|
CB6|{'fixed':'Фиксированная','floating':'Плавающая'}|Какая процентная ставка применяется к инструменту?|
CB7.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте инструмента? (Например, Libor для USD, индекс инфляции в РФ для RUB)|
CB7.2||Содержат ли условия эмиссии инверсированную плавающую процентную ставку? (например, Х% - Libor)|
CB7.3||Присутствует ли эффект рычага в отношении ставки? (К*Libor, где К > 1)|
CB7.4||Дата начала процентного периода соответствует дате котировки?|
CB7.5||Срок базовой ставки соответствует частоте ее пересмотра?|
CB7.6||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|
CB7.7.1||Качественный анализ модифицированного элемента временной стоимости денег по инструменту указывает на то, что инструмент отвечает критерию SPPI?|
CB7.7.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|
CB8.1|{'yes':'Да, инструментом предусмотрены условия, согласно которым возможно изменение ставки, при этом условия Не устанавливаю "шаг" изменения и/или степень изменения ставки','no_with_condition':'Нет,предусмотрены условия, изменяющие процентную ставку И С установлением "шага"/степени изменения ставки, И БЕЗ установления "шага"/степени изменения ставки','no_with_step':'Нет, возможно изменения ставки, но условия устанавливают "шаг" изменения и/или степень','no_not_condition':'Нет, инструментом не предусмотрены условия, изменяющие ставку'}|Предусмотрена ли условиями эмиссии возможность изменения процентной ставки, при этом условиями НЕ устанавливается «шаг» изменения и/или степень зависимости ставки от наступления условного события?|
CB8.2.1||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB8.2.2||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB9.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|
CB9.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по инструменту?|
CB9.3||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по инструменту?|
CB9.4||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|
CB9.5||Выявлены прочие компоненты и параметры процентной ставки?|
CB9.5.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
CB10||Предусмотрена ли условиями эмиссии опция досрочного погашения?|
CB11||Досрочное погашение возможно по решению Эмитента (call-опцион)?|
CB12||Максимально возможная сумма досрочного платежа с учетом компенсации меньше или равна сумме договорной номинальной стоимости плюс контрактные (но не выплаченные) проценты на оставшийся срок кредитования (до контрактной даты погашения), при этом компенсация за досрочное погашения не включает в себя компенсацию за прекращение связанной сделки хеджирования?|
CB13.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за досрочное погашение устанавливается как разница между справедливой стоимостью* долгового инструмента и основной суммой долга плюс накопленный процент на дату погашения (в случае если выпуском предусмотрено досрочное погашение по справедливой стоимости)?|
CB13.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за досрочное погашение обуславливается дополнительными экономически обоснованными расходами Банка (административные расходы)?|
CB13.3|{'yes':'Да','no':'Нет, условие отсутствует'}|Компенсация за досрочное погашение обуславливается расходами за досрочное прекращение связанного инструмента, хеджирующего исключительно процентный риск по сделке и не приводящего к возникновению контрактных потоков, не отвечающих критерию SPPI?|
CB13.4||Компенсация за досрочное погашение обуславливается расходами за досрочное прекращение связанного инструмента, хеджирующего прочие риски (не процентный)?|
CB13.5||Компенсация за досрочное погашение отражает изменение рыночных котировок на фондовых (по иным инструментам отличным от тестируемого), валютных и сырьевых рынках?|
CB13.6||Выявлены иные факторы, влияющие на определение компенсации?|
CB13.6.1||Иной фактор, влияющий на определение компенсации согласован с представителями УМО и признан проходящим SPPI-тест?|
CB14.1||Анализируемым финансовым активом является ценная бумага, приобретенная со значительной премией (свыше 10%)?|
CB14.2||Согласно мотивированному суждению ответственного подразделения вероятность досрочного погашения финансового актива, приобретенного с премией является незначительной?|
CB15||Содержат ли условия эмиссии опцию продления срока действия?|
CB16||Есть ли у Банка безусловное право отказать Эмитенту в продлении инструмента?|
CB17||Основные параметры инструмента (в т.ч., процентная ставка) на период продления устанавливаются в дату пролонгации?|
CB18|{'fixed':'Фиксированная','floating':'Плавающая'}|Какая процентная ставка применяется к инструменту на пролонгированный период?|
CB19.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте инструмента? (Например, Libor для USD, индекс инфляции в РФ для RUB)|
CB19.2||Содержат ли условия эмиссии инверсированную плавающую процентную ставку? (например, Х% - Libor)|
CB19.3||Присутствует ли эффект рычага в отношении ставки? (К*Libor, где К > 1)|
CB19.4||Дата начала процентного периода соответствует дате котировки?|
CB19.5||Срок базовой ставки соответствует частоте ее пересмотра?|
CB19.6||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|
CB19.7.1||Качественный анализ модифицированного элемента временной стоимости денег по инструменту указывает на то, что инструмент отвечает критерию SPPI?|
CB19.7.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|
CB20.1|{'yes':'Да, инструментом предусмотрены условия, согласно которым возможно изменение ставки, при этом условия Не устанавливаю "шаг" изменения и/или степень изменения ставки','no_with_condition':'Нет,предусмотрены условия, изменяющие процентную ставку И С установлением "шага"/степени изменения ставки, И БЕЗ установления "шага"/степени изменения ставки','no_with_step':'Нет, возможно изменения ставки, но условия устанавливают "шаг" изменения и/или степень','no_not_condition':'Нет, инструментом не предусмотрены условия, изменяющие ставку'}|Предусмотрена ли условиями эмиссии возможность изменения процентной ставки, при этом условиями НЕ устанавливается «шаг» изменения и/или степень зависимости ставки от наступления условного события?|
CB20.2.1||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
CB20.2.2||Условиями предусмотрено право досрочного погашения в случае пересмотра ставки?|
